#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
2.0,203.0,184262.0,184262.2
1.0,382.0,184268.0,184268.38
0.0,370.0,184269.0,184269.38
7.0,494.0,184279.0,184279.5
6.0,481.0,184280.0,184280.48
5.0,605.0,184290.0,184290.61
4.0,596.0,184291.0,184291.6
3.0,718.0,184301.0,184301.72
2.0,659.0,184306.0,184306.66
1.0,837.0,184312.0,184312.84
0.0,825.0,184313.0,184313.83
MARK 022
3.0,697.0,187324.0,187324.7
2.0,637.0,187329.0,187329.64
1.0,816.0,187335.0,187335.81
0.0,804.0,187336.0,187336.8
7.0,928.0,187346.0,187346.92
6.0,914.0,187347.0,187347.9
5.0,39.0,187358.0,187358.03
4.0,32.0,187359.0,187359.03
3.0,153.0,187369.0,187369.16
2.0,93.0,187374.0,187374.1
1.0,272.0,187380.0,187380.27
0.0,260.0,187381.0,187381.27
7.0,384.0,187391.0,187391.39
6.0,370.0,187392.0,187392.38
5.0,494.0,187402.0,187402.5
4.0,486.0,187403.0,187403.48
3.0,608.0,187413.0,187413.61
2.0,548.0,187418.0,187418.55
1.0,727.0,187424.0,187424.73
0.0,715.0,187425.0,187425.72
7.0,838.0,187435.0,187435.84
6.0,825.0,187436.0,187436.83
5.0,950.0,187446.0,187446.95
4.0,943.0,187447.0,187447.94
3.0,64.0,187458.0,187458.06
2.0,4.0,187462.0,187462.0
1.0,183.0,187469.0,187469.19
0.0,171.0,187470.0,187470.17
7.0,295.0,187480.0,187480.3
6.0,281.0,187481.0,187481.28
MARK 023
2.0,982.0,190485.0,190485.98
1.0,161.0,190492.0,190492.16
0.0,149.0,190493.0,190493.16
7.0,272.0,190503.0,190503.27
6.0,259.0,190504.0,190504.27
5.0,383.0,190514.0,190514.39
4.0,375.0,190515.0,190515.38
3.0,497.0,190525.0,190525.5
2.0,437.0,190530.0,190530.44
1.0,616.0,190536.0,190536.61
0.0,604.0,190537.0,190537.61
7.0,728.0,190547.0,190547.73
6.0,714.0,190548.0,190548.72
5.0,840.0,190558.0,190558.84
4.0,832.0,190559.0,190559.83
3.0,953.0,190569.0,190569.95
2.0,893.0,190574.0,190574.89
1.0,72.0,190581.0,190581.08
0.0,60.0,190582.0,190582.06
7.0,184.0,190592.0,190592.19
6.0,170.0,190593.0,190593.17
5.0,295.0,190603.0,190603.3
4.0,286.0,190604.0,190604.28
3.0,408.0,190614.0,190614.4
2.0,348.0,190619.0,190619.34
1.0,527.0,190625.0,190625.53
0.0,515.0,190626.0,190626.52
7.0,639.0,190636.0,190636.64
6.0,626.0,190637.0,190637.62
